location,date,starting_time,title,link
Obelisken på Slottsbacken,2019-10-05,13:00:00,Fogelströms historia,https://abfstockholm.se/evenemang/fogelstroms-historia/
Stockholms Stadsbibliotek,2019-10-07,16:30:00,Filosofiklubben Tema: Självkännedom,https://abfstockholm.se/evenemang/filosofiklubben-tema-sjalvkannedom/
Fruängens Bibliotek,2019-10-07,17:00:00,Filosofikafé Tema: Språk,https://abfstockholm.se/evenemang/tema-sprak/
"Bio Rio, salong 1",2019-10-07,20:00:00,Live på bio: Blue Note Records – Beyond the notes,https://abfstockholm.se/evenemang/live-pa-bio-blue-note-records-beyond-the-notes/
"ABF-huset, Sveavägen 41, Stockholm",2019-10-07,18:15:00,"Forskare pratar psykologi, med Mats Lekander",https://www.psychology.su.se/om-oss/evenemang/forskare-pratar-psykologi-med-mats-lekander-1.443616
"Goetheinstitutet Cervantes, Stockholm",2019-10-08,17:30:00,100 år av humaniora: Språk i teori och praktik,https://www.hum.su.se/om-oss/evenemang/evenemang/humanistiska-fakultetens-100-%C3%A5rsjubileum/100-%C3%A5r-av-humaniora-spr%C3%A5k-i-teori-och-praktik-1.430032
"Kulturhuset Stadsteatern, Under fontänen",2019-10-10,19:30:00,Marie Curie. Bildningspodden live på Kulturhuset Stadsteatern,https://www.su.se/om-oss/evenemang/%C3%B6ppna-f%C3%B6rel%C3%A4sningar/marie-curie-bildningspodden-live-p%C3%A5-kulturhuset-stadsteatern-1.442483
"Bio Rio, salong 1",2019-10-11,20:00:00,Live på bio: Ane Brun – Leave Me Breathless,https://abfstockholm.se/evenemang/live-pa-bio-ane-brun-leave-me-breathless/
Obelisken på Slottsbacken,2019-10-12,13:00:00,Fogelströms historia,https://abfstockholm.se/evenemang/fogelstroms-historia/
"Bio Rio, salong 1",2019-10-12,19:00:00,Live på bio: MET – Turandot,https://abfstockholm.se/evenemang/live-pa-bio-met-turandot/
"Bio Rio, salong 1",2019-10-14,14:00:00,Live på bio: MET – Turandot,https://abfstockholm.se/evenemang/live-pa-bio-met-turandot/
"Bio Rio, salong 1.",2019-10-14,18:00:00,Live på bio: Pradomuseet – en samling underverk,https://abfstockholm.se/evenemang/live-pa-bio-pradomuseet-en-samling-underverk/
"ABF-huset, Sveavägen 41",2019-10-14,18:15:00,Vilka har makten över skolpolitiken?,https://abfstockholm.se/evenemang/vilka-har-makten-over-skolpolitiken/
"ABF-huset, Sveavägen 41, scen Hjärtat, entréplan",2019-10-14,18:15:00,Statsvetare pratar politik: Vilka har makten över skolpolitiken?,https://www.statsvet.su.se/om-oss/evenemang/statsvetare-pratar-politik/statsvetare-pratar-politik-vilka-har-makten-%C3%B6ver-skolpolitiken-1.441880
"Bio Rio, salong 1",2019-10-15,18:00:00,Live på bio: MET – Turandot,https://abfstockholm.se/evenemang/live-pa-bio-met-turandot/
"ABF-huset, Sveavägen 41",2019-10-15,18:00:00,Mellan marknad och monopol. Privatiseringar i Stockholm under fyrahundra år,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/mellan-marknad-och-monopol-privatiseringar-i-stockholm-under-fyrahundra-%C3%A5r-1.437067
"Romanska och klassiska institutionen, Södra huset, B, 5th floor, LAI Library (Latinamerikainstitutet)",2019-10-18,14:00:00,"Cultura, letteratura e politica nelle riviste della Nuova Sinistra italiana",https://www.su.se/romklass/om-oss/evenemang/registrera-evenemang/cultura-letteratura-e-politica-nelle-riviste-della-nuova-sinistra-italiana-1.439910
Obelisken på Slottsbacken,2019-10-19,13:00:00,Fogelströms historia,https://abfstockholm.se/evenemang/fogelstroms-historia/
Bagarmossens Bibliotek,2019-10-22,18:00:00,Filosofikafé Tema: Ego eller inte – det är frågan?,https://abfstockholm.se/evenemang/tema-ego-eller-inte/
"Kungstensgatan 45, 10239 Stockholm",2019-10-22,18:00:00,Franska föreläsning - det franska Nordamerika,http://www.folkuniversitetet.se/Kurser--Utbildningar/Sprakkurser/Franska/Franska-specialkurser/Stockholm/franska-forelasning---franska-nordamerika/
"ABF-huset, Sveavägen 41",2019-10-23,13:30:00,Vårt livsviktiga doftsinne,https://abfstockholm.se/evenemang/vart-livsviktiga-doftsinne/
"Bio Rio, salong 1",2019-10-26,19:00:00,Live på bio: MET – Manon,https://abfstockholm.se/evenemang/live-pa-bio-met-manon/
"Bio Rio, salong 1",2019-10-27,16:00:00,Live på bio: Raymonda,https://abfstockholm.se/evenemang/live-pa-bio-raymonda/
"Bio Rio, salong 1",2019-10-28,14:00:00,Live på bio: MET – Manon,https://abfstockholm.se/evenemang/live-pa-bio-met-manon/
"Aspuddens Bibliotek, Galleri Hades",2019-10-28,17:30:00,Filosofikafé Tema: Paradiset?,https://abfstockholm.se/evenemang/tema-paradiset/
"Bio Rio, salong 1",2019-10-29,18:00:00,Live på bio: MET – Manon,https://abfstockholm.se/evenemang/live-pa-bio-met-manon/
"ABF-huset, Sveavägen 41",2019-10-29,18:00:00,Stockholms första globala århundrade och 1700-talets konsumtionssamhälle,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/stockholms-f%C3%B6rsta-globala-%C3%A5rhundrade-och-1700-talets-konsumtionssamh%C3%A4lle-1.437068
Stockholms Stadsbibliotek,2019-11-04,16:30:00,Filosofiklubben Tema: Vänskap,https://abfstockholm.se/evenemang/filosofiklubben-tema-vanskap/
Fruängens Bibliotek,2019-11-04,17:00:00,Filosofikafé Tema: Att välja,https://abfstockholm.se/evenemang/tema-att-valja/
"Kungstensgatan 45, 10239 Stockholm",2019-11-06,18:00:00,Franska föreläsning - vallonerna i Sverige,http://www.folkuniversitetet.se/Kurser--Utbildningar/Sprakkurser/Franska/Franska-specialkurser/Stockholm/franska-forelasning---vallonerna-i-sverige/
"Stockholms stadsbibliotek, Rotundan, Sveavägen 73",2019-11-07,18:00:00,Från Historieätarna till Game of Thrones – om historia som samtidsfenomen,https://www.su.se/om-oss/evenemang/%C3%B6ppna-f%C3%B6rel%C3%A4sningar/vetenskap-f%C3%B6r-vetgiriga/fr%C3%A5n-historie%C3%A4tarna-till-game-of-thrones-om-historia-som-samtidsfenomen-1.439872
"Bio Rio, salong 1",2019-11-09,19:00:00,Live på bio: Madama Butterfly,https://abfstockholm.se/evenemang/live-pa-bio-madama-butterfly/
"Bio Rio, salong 1",2019-11-11,14:00:00,Live på bio: Madama Butterfly,https://abfstockholm.se/evenemang/live-pa-bio-madama-butterfly/
Farsta Bibliotek,2019-11-11,18:00:00,Filosofikafé Tema: Att binda ris åt egen rygg,https://abfstockholm.se/evenemang/att-binda-ris-at-egen-rygg/
"ABF-huset, Sveavägen 41",2019-11-11,18:15:00,Demokrati och makt: vem bestämmer?,https://abfstockholm.se/evenemang/demokrati-och-makt-vem-bestammer/
"ABF-huset, Sveavägen 41, scen Hjärtat, entréplan",2019-11-11,18:15:00,Statsvetare pratar politik: Demokrati och makt - vem bestämmer?,https://www.statsvet.su.se/om-oss/evenemang/statsvetare-pratar-politik/statsvetare-pratar-politik-demokrati-och-makt-vem-best%C3%A4mmer-1.441884
"Bio Rio, salong 1",2019-11-12,18:00:00,Live på bio: Madama Butterfly,https://abfstockholm.se/evenemang/live-pa-bio-madama-butterfly/
"Medelhavsmuseet, Fredsgatan 2",2019-11-12,18:00:00,Algeriet – Ungdomen revolterar,https://abfstockholm.se/evenemang/algeriet-ungdomen-revolterar/
"Nordiska museet, Djurgårdsvägen 6-19, Stockholm",2019-11-12,17:30:00,100 år av humaniora: Vad ska vi ha museer till?,https://www.hum.su.se/om-oss/evenemang/evenemang/humanistiska-fakultetens-100-%C3%A5rsjubileum/100-%C3%A5r-av-humaniora-vad-ska-vi-ha-museer-till-1.430043
"ABF-huset, Sveavägen 41",2019-11-12,18:00:00,Spår av ett liv. En historia om ett sockenbarns liv i Stockholms närhet,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/sp%C3%A5r-av-ett-liv-en-historia-om-ett-sockenbarns-liv-i-stockholms-n%C3%A4rhet-1.437069
"Kungstensgatan 45, 10239 Stockholm",2019-11-12,18:00:00,De globala målen för hållbar utveckling,http://www.folkuniversitetet.se/Kurser--Utbildningar/Miljo-Natur/Hallbar-utveckling/Stockholm/de-globala-malen-for-hallbar-utveckling/
